claim_id,time_to_close,claim_amount,amount_paid,location,individuals_on_claim,linked_cases,cause
31,172,"R$12,343.57","R$10,961.43",RECIFE,7,TRUE,vegetable
32,237,"R$44,241.95","R$38,422.89",FORTALEZA,11,FALSE,unknown
33,184,"R$26,030.25","R$20,105.70",NATAL,7,TRUE,unknown
34,262,"R$55,464.45","R$41,194.29",NATAL,12,FALSE,unknown
35,136,"R$12,263.77","R$9,586.79",SAO LUIS,4,FALSE,meat
36,181,"R$42,026.19","R$29,408.54",RECIFE,8,TRUE,unknown
37,161,"R$12,528.59","R$9,169.83",SAO LUIS,6,TRUE,vegetable
38,161,"R$16,281.68","R$11,322.28",SAO LUIS,8,TRUE,vegetable
39,146,"R$17,767.87","R$15,263.33",RECIFE,6,FALSE,meat
40,243,"R$65,711.62","R$46,793.75",SAO LUIS,13,FALSE,unknown
41,233,"R$48,334.55","R$35,720.92",RECIFE,14,FALSE,meat
42,125,"R$17,355.92","R$12,983.27",SAO LUIS,5,FALSE,meat
43,166,"R$8,838.44","R$8,487.89",FORTALEZA,6,TRUE,vegetable
44,189,"R$22,790.60","R$20,273.70",NATAL,8,FALSE,meat
45,178,"R$23,258.79","R$20,821.47",RECIFE,6,FALSE,unknown
46,175,"R$6,110.23","R$4,663.12",SAO LUIS,3,TRUE,vegetable
47,111,"R$3,077.46","R$2,529.04",SAO LUIS,1,FALSE,meat
48,184,"R$36,137.84","R$31,374.56",NATAL,9,TRUE,unknown
49,195,"R$57,591.85","R$41,984.51",FORTALEZA,12,TRUE,unknown
50,168,"R$13,771.14","R$9,904.09",RECIFE,3,FALSE,unknown
51,301,"R$37,147.29","R$26,733.28",RECIFE,11,FALSE,meat
52,192,"R$32,133.69","R$30,394.11",SAO LUIS,9,FALSE,unknown
53,250,"R$40,247.32","R$36,845.67",SAO LUIS,15,FALSE,meat
54,185,"R$42,894.54","R$31,984.52",NATAL,13,FALSE,meat
55,140,"R$8,345.22","R$5,999.98",RECIFE,2,FALSE,meat
56,248,"R$31,969.06","R$24,105.93",FORTALEZA,10,FALSE,meat
57,196,"R$39,392.54","R$31,116.67",FORTALEZA,12,FALSE,meat
58,196,"R$38,095.37","R$25,581.59",RECIFE,7,FALSE,unknown
59,172,"R$18,427.98","R$14,338.23",SAO LUIS,4,TRUE,unknown
60,189,"R$32,457.05","R$29,022.52",RECIFE,12,FALSE,meat
61,190,"R$44,480.06","R$36,221.77",RECIFE,14,TRUE,meat
62,192,"R$42,555.08","R$32,090.68",NATAL,9,TRUE,unknown
63,168,"R$9,329.10","R$7,410.36",RECIFE,5,TRUE,vegetable
64,130,"R$14,067.53","R$9,843.57",RECIFE,4,FALSE,meat
65,179,"R$9,503.79","R$6,832.72",RECIFE,5,TRUE,vegetable
66,290,"R$44,838.93","R$33,501.64",SAO LUIS,10,FALSE,unknown
67,215,"R$47,085.36","R$32,161.53",RECIFE,13,FALSE,meat
68,182,"R$41,183.99","R$30,185.83",RECIFE,12,TRUE,meat
69,181,"R$21,339.17","R$20,777.92",NATAL,8,FALSE,meat
70,159,"R$19,517.11","R$13,329.36",SAO LUIS,4,FALSE,unknown
71,105,"R$7,971.09","R$7,037.77",RECIFE,3,FALSE,meat
72,188,"R$23,351.97","R$21,259.89",RECIFE,6,FALSE,unknown
73,109,"R$5,692.89","R$5,542.72",SAO LUIS,2,FALSE,meat
74,267,"R$42,740.52","R$32,356.85",FORTALEZA,13,FALSE,meat
75,142,"R$39,531.87","R$29,692.78",FORTALEZA,8,FALSE,unknown
76,276,"R$56,768.49","R$43,592.36",RECIFE,12,FALSE,unknown
77,293,"R$30,218.51","R$24,018.52",NATAL,10,FALSE,meat
78,226,"R$31,825.22","R$27,861.15",SAO LUIS,11,FALSE,meat
79,185,"R$36,450.49","R$28,474.57",NATAL,8,FALSE,unknown
80,187,"R$47,152.41","R$45,277.59",RECIFE,13,TRUE,unknown
81,153,"R$23,643.75","R$17,953.93",RECIFE,7,FALSE,meat
82,185,"R$32,758.59","R$24,760.80",SAO LUIS,7,TRUE,unknown
83,180,"R$25,538.87","R$22,569.33",RECIFE,9,FALSE,meat
84,132,"R$3,232.14","R$2,292.95",SAO LUIS,2,FALSE,vegetable
85,157,"R$20,304.65","R$19,375.64",NATAL,8,FALSE,meat
86,187,"R$69,055.20","R$47,856.59",RECIFE,14,TRUE,unknown
87,181,"R$26,795.81","R$23,927.72",NATAL,10,FALSE,meat
88,144,"R$9,001.69","R$6,141.51",RECIFE,2,FALSE,meat
89,149,"R$24,763.94","R$23,150.88",RECIFE,9,FALSE,meat
90,181,"R$25,085.36","R$24,118.04",RECIFE,7,TRUE,unknown
91,187,"R$19,109.42","R$17,462.49",FORTALEZA,5,FALSE,unknown
92,200,"R$19,855.85","R$18,919.29",SAO LUIS,8,FALSE,Meat
93,172,"R$11,906.84","R$8,028.04",RECIFE,5,TRUE,vegetable
94,199,"R$30,530.98","R$25,218.88",FORTALEZA,10,FALSE,meat
95,142,"R$19,141.61","R$17,378.45",RECIFE,7,FALSE,meat
96,156,"R$18,579.63","R$18,072.40",SAO LUIS,7,FALSE,meat
97,138,"R$9,598.14","R$7,851.31",RECIFE,2,FALSE,unknown
98,165,"R$12,061.01","R$10,679.06",RECIFE,7,FALSE,vegetable
99,208,"R$32,233.78","R$27,436.00",SAO LUIS,8,FALSE,unknown
100,273,"R$31,881.24","R$26,710.00",RECIFE,11,FALSE,meat
101,148,"R$12,484.60","R$10,121.16",FORTALEZA,4,FALSE,meat
102,120,"R$5,933.88","R$5,619.19",RECIFE,2,FALSE,unknown
103,178,"R$27,699.95","R$25,286.08",RECIFE,7,FALSE,unknown
104,247,"R$50,428.11","R$34,744.43",RECIFE,14,FALSE,meat
105,280,"R$34,950.96","R$27,954.71",SAO LUIS,11,FALSE,meat
106,238,"R$40,329.45","R$28,449.26",SAO LUIS,11,FALSE,meat
107,192,"R$42,945.80","R$35,874.42",RECIFE,10,FALSE,unknown
108,134,"R$30,234.92","R$26,429.66",SAO LUIS,8,FALSE,unknown
109,148,"R$37,307.93","R$31,027.26",NATAL,12,FALSE,meat
110,195,"R$54,215.84","R$41,042.83",FORTALEZA,12,TRUE,unknown
111,176,"R$10,503.28","R$10,364.14",RECIFE,7,TRUE,vegetable
112,184,"R$18,081.04","R$16,183.81",RECIFE,5,FALSE,unknown
113,359,"R$50,309.90","R$20,105.70",FORTALEZA,13,FALSE,unknown
114,186,"R$20,048.81","R$17,144.27",RECIFE,7,FALSE,meat
115,160,"R$2,251.51","R$2,219.79",RECIFE,1,TRUE,vegetable
116,188,"R$36,546.28","R$30,010.51",FORTALEZA,12,TRUE,meat
117,355,"R$58,629.10","R$43,653.41",SAO LUIS,12,FALSE,unknown
118,148,"R$41,644.17","R$31,092.65",FORTALEZA,12,FALSE,meat
119,172,"R$22,762.93","R$22,309.06",RECIFE,15,TRUE,vegetable
120,297,"R$40,548.36","R$34,869.54",RECIFE,14,FALSE,meat
121,245,"R$43,245.25","R$34,362.34",RECIFE,14,FALSE,meat
122,126,"R$16,163.79","R$12,768.33",FORTALEZA,5,FALSE,meat
123,179,"R$27,920.03","R$26,554.13",SAO LUIS,11,TRUE,meat
124,188,"R$45,922.16","R$45,895.84",SAO LUIS,13,TRUE,unknown
125,226,"R$26,261.41","R$19,867.20",RECIFE,13,FALSE,vegetable
126,157,"R$11,667.58","R$8,055.74",FORTALEZA,2,FALSE,unknown
127,175,"R$14,773.84","R$12,590.41",RECIFE,4,TRUE,unknown
128,185,"R$21,319.18","R$17,188.55",FORTALEZA,11,FALSE,vegetable
129,127,"R$19,563.12","R$17,801.84",RECIFE,7,FALSE,meat
130,108,"R$5,122.45","R$3,864.18",RECIFE,2,FALSE,meat
131,218,"R$21,417.21","R$17,553.64",SAO LUIS,12,FALSE,vegetable
132,229,"R$49,996.77","R$33,844.26",SAO LUIS,10,FALSE,unknown
133,167,"R$25,832.50","R$25,051.57",RECIFE,10,FALSE,Meat
134,248,"R$62,374.58","R$45,571.01",RECIFE,13,FALSE,unknown
135,238,"R$39,373.74","R$35,577.66",SAO LUIS,14,FALSE,meat
136,179,"R$26,052.69","R$18,925.55",NATAL,13,TRUE,vegetable
137,167,"R$5,272.65","R$4,017.67",RECIFE,1,TRUE,unknown
138,144,"R$27,394.44","R$22,478.67",RECIFE,15,FALSE,vegetable
139,118,"R$21,315.28","R$14,673.73",RECIFE,10,FALSE,vegetable
140,102,"R$8,099.37","R$5,889.60",RECIFE,2,FALSE,unknown
141,143,"R$43,598.52","R$42,845.72",RECIFE,12,FALSE,unknown
142,172,"R$31,238.96","R$26,644.35",RECIFE,11,TRUE,meat
143,175,"R$8,456.70","R$6,520.26",SAO LUIS,2,TRUE,unknown
144,133,"R$4,845.03","R$4,073.49",RECIFE,2,FALSE,meat
145,186,"R$31,809.16","R$27,679.64",NATAL,11,TRUE,meat
146,178,"R$30,765.72","R$28,749.82",RECIFE,11,FALSE,meat
147,227,"R$29,914.28","R$22,044.84",RECIFE,9,FALSE,meat
148,168,"R$23,185.21","R$18,800.69",SAO LUIS,5,FALSE,unknown
149,182,"R$28,824.94","R$23,075.37",SAO LUIS,7,TRUE,unknown
150,214,"R$64,683.94","R$45,939.02",SAO LUIS,13,FALSE,unknown
151,175,"R$23,810.30","R$17,880.28",FORTALEZA,5,FALSE,unknown
152,176,"R$22,493.91","R$15,524.57",NATAL,6,TRUE,meat
153,165,"R$23,180.57","R$22,194.52",RECIFE,15,FALSE,vegetable
154,149,"R$19,395.99","R$13,770.93",RECIFE,9,FALSE,vegetable
155,190,"R$48,196.50","R$33,724.88",NATAL,10,TRUE,unknown
156,358,"R$59,348.20","R$51,723.15",RECIFE,15,FALSE,unknown
157,163,"R$26,015.44","R$17,752.54",RECIFE,7,FALSE,meat
158,234,"R$43,356.97","R$37,276.63",RECIFE,11,FALSE,unknown
159,115,"R$6,555.69","R$5,642.10",RECIFE,2,FALSE,unknown
160,173,"R$14,087.29","R$13,114.61",FORTALEZA,5,TRUE,meat
161,139,"R$17,181.07","R$12,401.46",NATAL,5,FALSE,meat
162,171,"R$8,802.57","R$7,357.93",RECIFE,3,FALSE,meat
163,159,"R$33,754.13","R$31,442.92",RECIFE,13,FALSE,meat
164,204,"R$39,443.75","R$27,374.16",NATAL,11,FALSE,meat
165,173,"R$23,937.53","R$21,956.84",SAO LUIS,15,TRUE,vegetable
166,210,"R$53,075.85","R$40,377.92",RECIFE,12,FALSE,unknown
167,180,"R$25,599.38","R$25,590.93",FORTALEZA,10,FALSE,meat
168,144,"R$11,454.23","R$8,817.63",RECIFE,3,FALSE,unknown
169,158,"R$19,609.24","R$14,325.43",NATAL,10,FALSE,vegetable
170,139,"R$7,148.97","R$6,593.30",RECIFE,3,FALSE,meat
171,192,"R$24,799.21","R$20,558.99",RECIFE,8,FALSE,meat
172,240,"R$42,458.51","R$29,360.39",FORTALEZA,8,FALSE,unknown
173,145,"R$5,388.66","R$4,661.99",FORTALEZA,2,FALSE,Meat
174,322,"R$36,079.44","R$20,105.70",NATAL,12,FALSE,meat
175,195,"R$27,701.93","R$21,740.82",FORTALEZA,9,FALSE,meat
176,161,"R$19,842.58","R$17,992.74",FORTALEZA,7,FALSE,meat
177,186,"R$32,863.61","R$25,068.08",SAO LUIS,7,FALSE,unknown
178,177,"R$29,002.76","R$23,831.19",FORTALEZA,7,TRUE,unknown
179,183,"R$28,196.45","R$20,105.70",SAO LUIS,7,TRUE,unknown
180,175,"R$28,430.24","R$21,710.85",RECIFE,9,FALSE,meat
181,158,"R$14,435.43","R$10,931.44",RECIFE,4,FALSE,meat
182,167,"R$15,367.53","R$10,923.58",RECIFE,7,TRUE,vegetable
183,180,"R$34,376.49","R$24,227.15",RECIFE,10,TRUE,meat
184,228,"R$50,516.14","R$34,000.37",RECIFE,14,FALSE,meat
185,155,"R$25,217.53","R$21,816.49",RECIFE,9,FALSE,meat
186,182,"R$55,506.68","R$37,680.95",NATAL,11,TRUE,unknown
187,124,"R$18,180.94","R$12,644.97",SAO LUIS,5,FALSE,meat
188,237,"R$49,877.45","R$34,785.42",FORTALEZA,14,FALSE,meat
189,166,"R$7,579.55","R$7,428.36",RECIFE,3,TRUE,meat
190,118,"R$14,443.34","R$9,777.64",RECIFE,7,FALSE,vegetable
191,227,"R$39,389.83","R$26,588.99",RECIFE,11,FALSE,meat
192,162,"R$21,969.47","R$18,637.93",SAO LUIS,7,FALSE,meat
193,119,"R$4,166.72","R$3,713.34",NATAL,1,FALSE,unknown
194,207,"R$19,109.90","R$16,913.78",SAO LUIS,5,FALSE,unknown
195,256,"R$21,493.46","R$18,132.85",RECIFE,7,FALSE,meat
196,109,"R$8,944.47","R$8,299.10",RECIFE,3,FALSE,meat
197,174,"R$8,922.96","R$8,039.87",SAO LUIS,5,TRUE,vegetable
198,194,"R$15,700.36","R$13,837.94",SAO LUIS,4,FALSE,unknown
199,171,"R$4,552.15","R$3,097.37",SAO LUIS,2,TRUE,vegetable
200,134,"R$13,877.25","R$11,672.13",RECIFE,5,FALSE,meat
201,175,"R$12,122.96","R$9,034.93",NATAL,3,TRUE,unknown
202,131,"R$16,024.95","R$13,172.48",RECIFE,5,FALSE,meat
203,212,"R$45,410.46","R$36,386.24",RECIFE,15,FALSE,meat
204,246,"R$30,078.45","R$20,358.30",SAO LUIS,8,FALSE,meat
205,165,"R$29,185.24","R$19,598.09",RECIFE,6,FALSE,unknown
206,169,"R$16,342.82","R$16,255.06",SAO LUIS,11,TRUE,vegetable
207,230,"R$38,209.72","R$20,105.70",FORTALEZA,10,FALSE,unknown
208,210,"R$28,843.67","R$19,976.87",NATAL,8,FALSE,meat
209,163,"R$15,910.19","R$10,780.79",RECIFE,4,FALSE,Meat
210,217,"R$39,803.13","R$30,271.16",RECIFE,12,FALSE,meat
211,169,"R$32,409.74","R$23,071.88",RECIFE,9,FALSE,meat
212,168,"R$5,939.94","R$4,420.00",FORTALEZA,3,TRUE,vegetable
213,182,"R$20,564.37","R$14,715.41",NATAL,6,FALSE,meat
214,262,"R$30,199.27","R$25,593.86",RECIFE,7,FALSE,unknown
215,292,"R$68,372.47","R$51,458.57",RECIFE,15,FALSE,unknown
216,345,"R$70,280.33","R$51,765.31",NATAL,15,FALSE,unknown
217,179,"R$37,996.13","R$28,510.11",RECIFE,8,TRUE,unknown
218,219,"R$16,755.93","R$14,123.83",RECIFE,4,FALSE,unknown
219,177,"R$20,206.14","R$15,051.93",RECIFE,10,TRUE,vegetable
220,174,"R$14,321.78","R$10,948.01",NATAL,4,TRUE,meat
221,180,"R$38,293.49","R$35,311.41",RECIFE,14,TRUE,meat
222,225,"R$43,751.12","R$32,755.11",SAO LUIS,9,FALSE,unknown
223,229,"R$38,783.95","R$28,128.29",NATAL,8,FALSE,unknown
224,181,"R$34,198.11","R$26,700.32",RECIFE,8,TRUE,unknown
225,207,"R$46,302.53","R$34,043.25",RECIFE,10,TRUE,unknown
226,190,"R$32,861.12","R$24,943.65",RECIFE,7,TRUE,unknown
227,171,"R$10,323.84","R$7,886.84",RECIFE,5,TRUE,vegetable
228,164,"R$7,997.15","R$6,138.29",RECIFE,2,FALSE,meat
229,177,"R$27,092.86","R$19,489.91",NATAL,13,TRUE,vegetable
230,152,"R$12,266.99","R$10,038.94",FORTALEZA,4,FALSE,meat
231,130,"R$12,995.85","R$8,732.37",NATAL,3,FALSE,meat
232,180,"R$45,708.79","R$31,451.56",RECIFE,13,TRUE,meat
233,203,"R$23,871.11","R$20,392.43",RECIFE,14,FALSE,vegetable
234,170,"R$7,093.27","R$4,843.22",NATAL,2,TRUE,meat
235,146,"R$34,484.35","R$23,502.71",RECIFE,9,FALSE,meat
236,184,"R$44,967.11","R$42,071.11",NATAL,12,TRUE,unknown
237,213,"R$30,028.79","R$25,146.46",FORTALEZA,10,FALSE,meat
238,137,"R$5,803.14","R$4,380.10",RECIFE,2,FALSE,meat
239,203,"R$25,329.25","R$20,176.44",RECIFE,8,FALSE,Meat
240,197,"R$59,009.46","R$50,898.53",SAO LUIS,15,TRUE,unknown
241,261,"R$39,757.38","R$30,627.14",NATAL,12,FALSE,meat
242,138,"R$16,463.71","R$11,285.84",RECIFE,5,FALSE,meat
243,224,"R$38,597.95","R$37,448.56",RECIFE,15,FALSE,meat
244,143,"R$19,683.35","R$17,584.83",NATAL,7,FALSE,meat
245,206,"R$43,732.89","R$33,402.41",RECIFE,13,FALSE,meat
246,182,"R$31,767.73","R$27,523.10",SAO LUIS,11,FALSE,meat
247,159,"R$22,185.02","R$21,497.17",RECIFE,9,FALSE,meat
248,171,"R$12,534.72","R$10,854.90",SAO LUIS,4,TRUE,meat
249,193,"R$21,638.91","R$15,486.70",SAO LUIS,10,FALSE,vegetable
250,141,"R$14,885.49","R$11,344.37",RECIFE,5,FALSE,meat
251,137,"R$7,815.30","R$7,004.43",RECIFE,5,FALSE,vegetable
252,159,"R$20,161.84","R$19,021.80",SAO LUIS,8,FALSE,meat
253,179,"R$11,621.49","R$8,529.47",SAO LUIS,6,TRUE,vegetable
254,267,"R$25,158.26","R$20,472.23",SAO LUIS,8,FALSE,meat
255,149,"R$14,593.17","R$10,254.81",FORTALEZA,3,FALSE,unknown
256,164,"R$17,676.86","R$12,202.68",RECIFE,3,FALSE,unknown
257,325,"R$34,705.08","R$28,400.63",FORTALEZA,11,FALSE,meat
258,235,"R$49,784.95","R$34,365.44",SAO LUIS,14,FALSE,meat
259,220,"R$38,476.94","R$33,941.89",SAO LUIS,10,FALSE,unknown
260,146,"R$9,381.06","R$8,431.38",RECIFE,3,FALSE,meat
261,184,"R$19,209.45","R$18,128.19",SAO LUIS,12,FALSE,vegetable
262,171,"R$32,135.14","R$27,843.99",RECIFE,8,FALSE,unknown
263,293,"R$55,156.43","R$48,861.19",RECIFE,14,FALSE,unknown
264,193,"R$30,726.17","R$24,351.11",SAO LUIS,7,FALSE,unknown
265,182,"R$40,343.58","R$34,289.21",FORTALEZA,14,FALSE,meat
266,140,"R$14,148.41","R$11,221.81",RECIFE,4,FALSE,meat
267,181,"R$17,289.10","R$12,169.18",RECIFE,8,TRUE,vegetable
268,188,"R$24,147.88","R$17,745.28",RECIFE,7,FALSE,meat
269,178,"R$15,002.63","R$11,935.05",RECIFE,3,TRUE,unknown
270,244,"R$33,841.53","R$30,086.47",SAO LUIS,12,FALSE,meat
271,169,"R$3,033.36","R$2,637.94",RECIFE,2,TRUE,vegetable
272,131,"R$9,310.09","R$7,280.21",RECIFE,3,FALSE,meat
273,273,"R$45,656.54","R$31,291.38",RECIFE,13,FALSE,meat
274,171,"R$8,734.76","R$8,147.47",RECIFE,2,TRUE,unknown
275,171,"R$4,066.72","R$4,010.65",SAO LUIS,3,TRUE,vegetable
276,318,"R$49,919.72","R$36,350.21",SAO LUIS,15,FALSE,meat
277,173,"R$16,751.49","R$12,573.11",RECIFE,4,TRUE,unknown
278,135,"R$25,379.65","R$18,578.50",FORTALEZA,7,FALSE,meat
279,132,"R$20,286.45","R$14,246.79",RECIFE,4,FALSE,unknown
280,228,"R$46,582.09","R$31,201.56",RECIFE,9,FALSE,unknown
281,166,"R$16,214.45","R$16,040.14",FORTALEZA,11,TRUE,vegetable
282,196,"R$32,379.22","R$23,673.74",SAO LUIS,9,FALSE,meat
283,277,"R$32,041.49","R$30,510.69",SAO LUIS,12,FALSE,meat
284,254,"R$40,297.39","R$29,727.12",RECIFE,8,FALSE,unknown
285,219,"R$48,902.70","R$34,787.56",RECIFE,10,FALSE,unknown
286,168,"R$4,441.15","R$4,374.81",SAO LUIS,1,TRUE,unknown
287,84,"R$2,113.92","R$2,002.67",RECIFE,1,FALSE,vegetable
288,191,"R$23,879.71","R$23,080.55",RECIFE,9,FALSE,meat
289,212,"R$47,753.83","R$42,348.68",FORTALEZA,12,FALSE,unknown
290,219,"R$34,513.08","R$25,671.63",SAO LUIS,10,FALSE,meat
291,104,"R$4,954.71","R$3,364.80",FORTALEZA,2,FALSE,vegetable
292,192,"R$41,166.66","R$38,660.06",RECIFE,11,TRUE,unknown
293,185,"R$71,839.85","R$49,879.03",NATAL,14,TRUE,unknown
294,176,"R$25,601.63","R$22,813.00",NATAL,7,TRUE,unknown
295,187,"R$52,664.20","R$50,821.91",RECIFE,15,FALSE,unknown
296,121,"R$13,908.28","R$12,237.07",RECIFE,3,FALSE,unknown
297,259,"R$60,401.35","R$42,228.80",NATAL,12,FALSE,unknown
298,197,"R$25,693.14","R$17,551.82",FORTALEZA,7,FALSE,meat
299,184,"R$48,905.64","R$42,685.10",FORTALEZA,12,TRUE,unknown
300,178,"R$28,364.25","R$25,018.21",SAO LUIS,7,TRUE,unknown
301,146,"R$13,532.31","R$10,118.41",FORTALEZA,4,FALSE,meat
302,171,"R$37,167.47","R$26,132.87",RECIFE,10,FALSE,meat
303,159,"R$18,349.98","R$14,390.61",FORTALEZA,4,FALSE,unknown
304,190,"R$65,520.71","R$47,031.55",SAO LUIS,13,TRUE,unknown
305,182,"R$37,954.05","R$37,489.78",RECIFE,15,TRUE,meat
306,202,"R$9,600.33","R$9,215.55",NATAL,4,FALSE,meat
307,168,"R$12,721.45","R$8,922.39",FORTALEZA,6,TRUE,vegetable
308,245,"R$34,163.03","R$26,474.03",RECIFE,8,FALSE,unknown
309,341,"R$59,752.64","R$50,888.13",RECIFE,15,FALSE,unknown
310,164,"R$41,057.15","R$28,696.57",NATAL,8,FALSE,unknown
311,198,"R$23,132.47","R$22,040.83",SAO LUIS,9,FALSE,meat
312,169,"R$15,188.55","R$10,559.11",RECIFE,7,TRUE,vegetable
313,243,"R$50,875.93","R$36,614.57",RECIFE,15,FALSE,meat
314,192,"R$14,126.32","R$9,619.60",FORTALEZA,3,FALSE,unknown
315,206,"R$76,106.80","R$52,498.75",RECIFE,15,TRUE,unknown
316,181,"R$34,686.52","R$33,393.07",FORTALEZA,13,FALSE,meat
317,199,"R$24,811.98","R$16,741.71",SAO LUIS,7,FALSE,meat
318,133,"R$8,351.58","R$8,007.27",SAO LUIS,5,FALSE,vegetable
319,177,"R$23,872.40","R$17,715.65",SAO LUIS,7,FALSE,meat
320,166,"R$7,818.63","R$20,105.70",SAO LUIS,5,TRUE,vegetable
321,175,"R$16,598.40","R$14,214.57",FORTALEZA,4,TRUE,unknown
322,168,"R$12,121.25","R$10,354.79",SAO LUIS,7,FALSE,vegetable
323,162,"R$32,677.52","R$23,201.95",SAO LUIS,9,FALSE,meat
324,207,"R$40,752.50","R$32,383.46",NATAL,13,FALSE,meat
325,139,"R$16,725.10","R$13,979.26",NATAL,4,FALSE,unknown
326,229,"R$30,240.58","R$27,420.94",RECIFE,11,FALSE,meat
327,231,"R$36,966.69","R$24,699.71",NATAL,10,FALSE,meat
328,174,"R$34,898.74","R$30,928.03",NATAL,12,FALSE,meat
329,164,"R$26,966.39","R$26,654.64",SAO LUIS,8,FALSE,unknown
330,187,"R$46,063.41","R$30,772.46",FORTALEZA,12,FALSE,meat
331,231,"R$14,508.05","R$12,023.87",SAO LUIS,5,FALSE,meat
332,262,"R$43,659.74","R$34,260.85",RECIFE,10,FALSE,unknown
333,232,"R$26,612.07","R$18,760.87",RECIFE,13,FALSE,vegetable
334,134,"R$9,645.07","R$8,324.35",NATAL,2,FALSE,unknown
335,180,"R$35,058.43","R$23,857.67",RECIFE,7,TRUE,unknown
336,172,"R$26,641.48","R$20,696.81",SAO LUIS,8,FALSE,meat
337,119,"R$10,049.39","R$9,196.30",NATAL,4,FALSE,meat
338,180,"R$18,945.03","R$13,999.60",RECIFE,9,TRUE,vegetable
339,186,"R$37,236.74","R$28,684.87",RECIFE,11,TRUE,meat
340,211,"R$43,752.01","R$30,336.03",RECIFE,12,FALSE,meat
341,180,"R$46,166.13","R$37,359.58",NATAL,11,TRUE,unknown
342,178,"R$40,551.05","R$31,544.91",RECIFE,9,TRUE,unknown
343,160,"R$11,796.77","R$9,718.70",RECIFE,4,FALSE,meat
344,162,"R$13,163.47","R$10,315.76",RECIFE,3,FALSE,unknown
345,143,"R$15,580.08","R$12,183.84",FORTALEZA,3,FALSE,unknown
346,148,"R$12,345.29","R$12,273.38",SAO LUIS,4,FALSE,unknown
347,275,"R$61,209.44","R$49,565.68",SAO LUIS,14,FALSE,unknown
348,182,"R$25,154.55","R$23,542.58",NATAL,9,FALSE,meat
349,177,"R$36,698.38","R$30,961.12",RECIFE,12,TRUE,meat
350,143,"R$5,256.65","R$4,862.73",RECIFE,2,FALSE,meat
351,183,"R$20,231.62","R$15,189.17",SAO LUIS,10,TRUE,vegetable
352,110,"R$9,917.27","R$8,065.72",NATAL,2,FALSE,unknown
353,142,"R$6,878.71","R$6,275.04",NATAL,3,FALSE,meat
354,166,"R$20,690.88","R$15,063.17",RECIFE,6,FALSE,meat
355,167,"R$46,269.80","R$32,128.11",RECIFE,13,FALSE,meat
356,160,"R$13,061.86","R$11,392.04",NATAL,3,FALSE,unknown
357,76,"R$1,637.94","R$1,547.96",FORTALEZA,1,FALSE,vegetable
358,187,"R$20,499.61","R$18,996.99",RECIFE,8,FALSE,meat
359,198,"R$29,661.41","R$23,371.95",RECIFE,9,FALSE,meat
360,240,"R$61,454.11","R$42,884.80",RECIFE,12,FALSE,unknown
361,222,"R$34,775.86","R$27,833.73",FORTALEZA,11,FALSE,meat
362,231,"R$24,259.97","R$16,474.34",RECIFE,5,FALSE,unknown
363,180,"R$18,607.22","R$12,832.26",NATAL,4,FALSE,unknown
